Level 3 - H308,H308 - Distance Learning Classroom - Αίθουσα Τηλεκπαίδευσης
Level 3 - H309,H309 - Haridimos Kondylakis - Χαρίδημος Κονδυλάκης
Level 3 - H310,H310 - Storage Room - Αποθήκη
Level 3 - H311,H311 - Kostas Magoutis - Associate Professor
Level 3 - H312,H312
Level 3 - H314,H314
Level 3 - H316,H316
Level 3 - K301,K301
Level 3 - K302,"K302 - Computational Vision, Graphics and Robotics Laboratory - Εργαστήριο Υπολογιστικής Όρασης Γραφικής και Ρομποτικής"
Level 3 - K303,IsItReallyK303 - Meeting Room - Αίθουσα Συναντήσεων
Level 3 - K304,"K304 - Computational Vision, Graphics and Robotics Laboratory - Εργαστήριο Υπολογιστικής Όρασης Γραφικής και Ρομποτικής"
Level 3 - K305,K305 - Ioannis Tsamardinos - Ιωάννης Τσαμαρδίνος
Level 3 - K306,K306 - Cybersecurity and Privacy Laboratory - Εργαστήριο Κυβερνοασφάλειας και Ιδιωτικότητας
Level 3 - K307,K307 - Dimitris Plexousakis - Δημήτρης Πλεξουσάκης
Level 3 - K308,K308 - Networks and Information Visualization Laboratory - Εργαστήριο Δικτύων και Οπτικοποίησης Πληροφορίας
Level 3 - K309,K309 - Antonis Argyros - Αντώνης Αργυρός
Level 3 - K310,K310 - Human-Computer Interaction Laboratory - Εργαστήριο Αλληλεπίδρασης Ανθρώπου-Υπολογιστή
Level 3 - K311,K311 - Panagiota Fatourou - Παναγιώτα Φατούρου
Level 3 - K312,K312 - Human-Computer Interaction Laboratory - Εργαστήριο Αλληλεπίδρασης Ανθρώπου-Υπολογιστή
Level 3 - K313,K313 - Panos Trahanias - Πάνος Τραχανίας
Level 3 - K314,"K314 - Computer Architecture, Systems, and Languages Laboratory - Εργαστήριο Αρχιτεκτονικής, Συστημάτων, και Γλωσσών Υπολογιστών"
Level 3 - K315,K315 - Antonis Savidis - Αντώνης Σαββίδης
Level 3 - K316,"K316 - Computer Architecture, Systems, and Languages Laboratory - Εργαστήριο Αρχιτεκτονικής, Συστημάτων, και Γλωσσών Υπολογιστών"
Level 3 - K317,K317 - Ioannis G. Tollis - Ιωάννης Γ. Τόλλης
Level 3 - K319,K319 - Vassilis Papaefstathiou - Βασίλης Παπαευσταθίου
Level 3 - K321,K321 - Constantine Stephanidis - Κωνσταντίνος Στεφανίδης
Level 3 - K323,K323 - Evangelos Markatos - Βαγγέλης Μαρκάτος
Level 3 - K325,K325 - Angelos Bilas - Άγγελος Μπίλας
Level 3 - K327,K327 - Polyvios Pratikakis - Πολύβιος Πρατικάκης
Level 3 - K329,K329 - Manolis G. H. Katevenis - Μανόλης Γ. Η. Κατεβαίνης
